#         P0        delay
    0.500000 30777.600000
    0.848485 19695.300000
    1.196970 14682.300000
    1.545455 11796.000000
    1.893939  9920.700000
    2.242424  8612.700000
    2.590909  7657.200000
    2.939394  6931.500000
    3.287879  6353.700000
    3.636364  5870.100000
    3.984848  5466.600000
    4.333333  5199.300000
    4.681818  4707.900000
    5.030303  4250.700000
    5.378788  3916.800000
    5.727273  3643.800000
    6.075758  3412.200000
    6.424242  3210.900000
    6.772727  3033.900000
    7.121212  2876.400000
    7.469697  2735.400000
    7.818182  2607.900000
    8.166667  2492.100000
    8.515152  2386.500000
    8.863636  2289.600000
    9.212121  2200.500000
    9.560606  2118.300000
    9.909091  2041.800000
   10.257576  1971.000000
   10.606061  1905.000000
   10.954545  1843.200000
   11.303030  1785.300000
   11.651515  1731.000000
   12.000000  1680.000000
   12.348485  1632.000000
   12.696970  1586.400000
   13.045455  1543.500000
   13.393939  1503.000000
   13.742424  1464.300000
   14.090909  1427.700000
   14.439394  1392.900000
   14.787879  1359.600000
   15.136364  1328.100000
   15.484848  1298.100000
   15.833333  1269.000000
   16.181818  1241.700000
   16.530303  1215.300000
   16.878788  1189.800000
   17.227273  1165.800000
   17.575758  1142.400000
   17.924242  1119.900000
   18.272727  1098.600000
   18.621212  1077.900000
   18.969697  1057.800000
   19.318182  1038.600000
   19.666667  1020.300000
   20.015152  1002.300000
   20.363636   985.200000
   20.712121   968.400000
   21.060606   952.200000
   21.409091   936.900000
   21.757576   921.600000
   22.106061   907.200000
   22.454545   892.800000
   22.803030   879.300000
   23.151515   866.100000
   23.500000   853.200000
   23.848485   840.600000
   24.196970   828.300000
   24.545455   816.600000
   24.893939   805.200000
   25.242424   794.100000
   25.590909   783.000000
   25.939394   772.500000
   26.287879   762.300000
   26.636364   752.400000
   26.984848   742.500000
   27.333333   732.900000
   27.681818   723.900000
   28.030303   714.900000
   28.378788   705.900000
   28.727273   697.500000
   29.075758   689.100000
   29.424242   680.700000
   29.772727   672.900000
   30.121212   665.100000
   30.469697   657.300000
   30.818182   649.800000
   31.166667   642.600000
   31.515152   635.400000
   31.863636   628.500000
   32.212121   621.900000
   32.560606   615.000000
   32.909091   608.700000
   33.257576   602.100000
   33.606061   595.800000
   33.954545   589.800000
   34.303030   583.800000
   34.651515   577.800000
   35.000000   572.100000
# Note:
# tabulated delay time for the tully one model
# note A, B, C, D parameters are taken from Tully JCP 1990
# R0 = -10.0
